Sex,ActualYear,Faculty,Avg,AcomStat,scholarship/bursary ,GoOut,MissClass,ModulFailed,Relation,ParentApprov,RelationParent
1,2,8,61,3,0,3,0,1,1,1,4
1,1,3,65,3,0,2,0,0,0,1,4
2,2,3,65,3,0,3,0,2,0,1,4
1,2,3,67,1,0,2,0,1,0,1,4
1,1,5,58,3,0,2,2,0,0,1,4
1,2,3,61,3,0,2,3,0,1,1,1
1,2,3,77,3,0,1,0,0,1,1,1
2,2,8,57,3,0,1,1,1,0,1,1
2,1,3,30,3,0,4,4,4,0,1,4
1,1,3,80,3,0,2,1,4,0,1,4
2,1,3,65,3,0,1,0,0,1,1,3
2,1,2,70,3,0,2,1,0,0,1,4
2,1,5,73,3,0,2,0,0,0,1,4
1,1,3,89,3,0,0,0,0,1,1,4
2,2,3,81,3,0,3,1,1,0,1,4
1,2,3,71,3,0,2,2,0,0,1,3
1,1,3,76,3,0,2,0,0,1,1,4
1,2,3,80,3,0,3,1,0,1,1,4
2,2,7,62,3,0,1,1,0,0,1,1
2,2,3,58,1,0,1,2,1,0,1,1
2,1,3,76,3,0,1,0,4,0,1,3
1,2,2,72,3,0,1,2,0,0,1,4
2,2,3,55,1,0,2,2,2,1,1,4
1,2,3,70,3,1,1,1,1,1,1,1
2,3,1,61,3,0,2,1,2,0,1,4
2,1,8,55,3,0,2,3,1,1,1,4
1,3,3,73,3,0,1,0,0,1,1,4
2,3,5,74,3,0,0,0,0,1,1,1
2,3,6,63,3,0,1,3,1,0,1,1
1,3,5,61,3,0,2,1,1,1,1,4
2,2,8,58,1,0,1,2,0,0,1,4
1,3,8,63,3,0,3,0,0,1,1,4
1,1,5,59,3,0,2,0,0,1,1,4
2,2,3,56,1,1,1,1,0,1,0,3
2,1,2,54,3,0,2,2,2,0,0,1
1,2,3,61,3,0,0,0,4,0,,3
2,2,6,60,1,1,1,0,3,1,1,3
1,2,3,80,3,0,4,0,0,0,1,4
2,3,3,80,3,0,2,0,0,0,1,4
2,1,3,70,3,0,3,2,0,1,0,4
2,1,3,77,3,0,2,1,0,0,1,4
1,2,5,60,3,0,2,0,2,0,1,1
2,1,3,76,3,0,2,1,0,1,0,4
1,2,7,69.7,3,0,3,2,0,1,1,4
2,2,3,85,3,0,1,0,2,1,1,3
2,2,3,70,3,0,3,2,1,1,1,1
2,2,3,63,3,0,1,0,3,0,1,1
2,2,3,63,1,0,4,1,0,0,0,4
2,3,3,66,3,0,2,0,1,0,1,3
2,1,3,85,3,0,2,1,0,0,1,4
2,3,5,59,3,0,2,0,2,1,0,1
1,2,3,74,1,0,2,0,0,0,0,3
2,1,3,64,3,0,4,0,0,1,1,4
2,5,1,78,3,0,3,0,0,1,1,4
2,2,2,50,3,0,2,0,3,0,1,3
2,2,8,50,3,0,1,0,3,0,0,1
1,3,6,75,3,0,2,1,1,0,0,3
2,1,8,63,3,0,2,0,0,0,1,4
2,1,8,56,3,0,0,0,1,0,1,4
1,1,2,61,3,0,3,0,0,0,1,4
2,1,2,74,3,0,2,1,0,1,1,4
1,2,3,60,3,0,2,0,0,0,1,1
2,2,3,69,3,0,2,2,0,1,1,4
1,1,7,60,3,0,2,3,0,1,1,4
2,1,3,83,3,0,3,0,0,1,1,4
2,2,3,56,3,0,4,2,3,0,1,4
1,1,2,65,3,0,2,0,2,1,1,4
1,2,7,79,3,0,1,0,0,1,1,4
2,2,3,64,3,0,1,1,1,0,1,4
2,2,3,57,3,0,1,0,0,0,1,4
1,1,3,58,3,0,3,2,0,1,1,1
1,1,8,71,3,0,1,0,0,1,1,4
2,3,6,66,3,0,1,1,0,1,1,1
2,1,3,70,3,0,4,0,1,1,1,4
2,1,8,58,3,0,2,1,1,0,1,1
2,2,3,80,3,0,4,4,0,0,0,4
1,2,7,74,3,0,2,0,0,0,1,4
2,1,3,70,3,0,2,2,0,1,1,3
1,2,3,60,3,0,2,0,3,0,0,1
1,2,3,58,3,1,1,0,0,1,1,4
